SSC_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
SSC40001,66,455,326,3138,36,4022,0,4,0,5,0,12,152,12,3,4,3,174,24,4,0,10,0,40,121,40,12,70,0,243,1456,460,366,2876,38,5193,91,0,6,0,0,100,29,5,0,23,0,58,171,82,46,591,7,901,43,24,9,50,0,128,32,10,3,9,0,59,142,11,4,0,3,156,207,56,41,669,14,982,105,63,15,145,0,324,29,0,0,5,0,35,28,3,4,14,0,42,7,7,0,3,0,15,19,6,8,9,0,44,8,4,0,0,0,16,28,13,8,4,0,51,151,10,20,35,0,216,29,0,4,6,0,33,243,110,71,609,9,1039,10,3,0,3,0,21,72,0,0,0,0,75,18,3,0,7,0,30,11,0,0,5,0,14,3,0,0,0,0,5,3,0,0,0,0,3,58,13,3,29,0,99,466,56,57,127,3,712,20,0,8,55,243,325,3185,838,587,6107,327,11039
SSC40002,79,305,246,1452,33,2116,3,4,0,62,0,69,4177,10,26,14,18,4249,26,3,0,12,0,40,69,18,15,35,3,134,870,316,258,1683,47,3181,122,0,10,0,0,130,47,0,8,26,0,85,153,65,31,383,11,642,129,22,5,52,0,211,26,3,0,7,0,42,403,0,8,3,4,417,199,94,56,648,15,1007,268,73,29,144,7,515,305,0,3,0,0,310,23,3,0,17,0,40,7,0,0,0,0,9,8,3,3,10,3,30,11,3,0,0,0,20,28,4,6,0,0,40,72,21,11,30,3,131,65,0,4,7,0,79,204,99,58,508,13,884,23,7,0,0,0,30,26,0,3,0,0,23,105,7,4,0,0,116,60,0,7,0,0,67,15,0,0,0,0,19,192,4,8,3,0,203,38,8,5,23,0,76,1592,64,63,88,19,1831,44,0,8,26,1705,1787,8516,680,500,3573,1846,15115
SSC40003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40004,0,0,0,36,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,79,0,96
SSC40005,0,0,3,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,3,39
SSC40006,16,54,39,424,14,546,0,0,0,7,0,7,29,0,0,0,0,32,19,0,0,4,0,27,16,0,7,4,0,30,67,44,27,343,8,493,13,0,5,3,0,19,3,0,0,5,0,7,19,13,5,69,0,110,43,7,3,20,0,76,9,0,0,4,0,17,44,3,0,0,0,48,14,10,0,98,3,121,97,26,20,81,3,229,3,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,3,0,4,3,6,0,14,0,0,3,0,0,4,3,0,0,0,0,4,37,0,4,8,0,51,16,6,0,0,0,14,12,13,10,76,0,112,41,4,3,0,3,48,3,0,0,0,0,7,8,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,44,3,0,0,4,0,6,105,9,14,21,0,142,11,0,0,6,54,78,566,129,89,856,81,1724
SSC40007,15,73,52,416,13,574,0,3,0,14,0,18,21,0,0,6,0,29,16,0,9,4,0,27,13,8,4,4,0,35,120,66,54,439,11,684,10,3,3,0,0,16,5,0,0,3,0,7,29,7,14,77,0,126,45,5,3,13,0,66,3,3,0,0,0,4,14,0,0,0,0,14,29,13,12,146,3,204,59,15,3,38,0,118,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,10,0,0,0,0,0,3,8,3,0,0,0,9,17,7,0,7,0,33,59,5,0,3,0,67,32,19,23,135,3,209,8,3,0,4,0,18,6,0,0,0,0,6,7,0,3,0,0,13,0,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,13,0,13,93,19,9,26,0,146,10,0,0,12,57,77,541,146,103,939,81,1818
SSC40008,14,164,112,845,11,1153,0,0,0,3,0,3,23,12,0,13,0,49,7,0,0,0,0,5,41,11,11,18,0,76,437,153,127,983,15,1718,0,0,0,0,0,4,10,8,0,22,0,36,74,34,15,274,0,396,9,3,0,16,0,38,11,0,0,0,0,12,12,4,0,0,0,18,61,23,12,239,3,338,36,21,9,46,0,110,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,4,7,10,0,0,11,17,10,3,18,0,44,11,0,0,3,0,12,68,34,25,280,3,411,3,0,0,0,0,3,26,0,0,0,0,28,7,0,0,6,0,10,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,15,3,4,13,0,37,101,29,22,40,0,198,4,0,0,17,123,144,789,296,203,1924,152,3361
SSC40009,3,30,11,141,10,192,0,0,0,0,0,0,9,0,0,3,0,17,0,0,0,3,0,5,15,3,0,6,0,18,83,25,9,151,7,278,0,0,0,0,0,0,0,0,0,3,0,5,9,0,0,32,0,48,11,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,37,0,52,9,4,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,10,6,7,41,0,61,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,17,10,0,6,0,26,0,3,0,3,20,25,166,58,23,300,29,573
SSC40010,81,496,351,3171,102,4203,0,0,3,24,0,25,18,3,10,11,0,44,13,5,3,0,0,24,84,24,29,51,3,188,1612,508,427,2540,104,5185,34,3,12,0,0,46,22,3,3,12,0,42,126,63,51,451,8,701,26,13,3,37,0,86,20,0,0,3,0,27,17,6,3,4,0,31,183,71,46,543,11,847,83,46,14,131,13,282,3,0,0,0,0,3,7,0,0,3,0,8,0,0,3,0,0,4,13,6,3,9,0,32,33,6,4,3,0,49,19,28,9,10,0,58,42,10,4,15,0,68,11,0,3,0,0,20,340,82,59,538,10,1031,6,0,0,8,0,12,43,3,0,0,0,49,25,5,0,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,64,9,7,22,0,104,231,53,37,79,5,402,12,4,3,78,713,810,2578,849,642,5578,918,10557
SSC40011,0,0,3,70,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,57,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,5,3,131,14,158
SSC40012,17,60,27,346,8,451,0,0,0,3,0,3,55,3,3,0,0,60,8,3,0,6,0,17,8,0,0,0,0,12,84,50,24,321,9,491,15,0,0,0,0,15,5,3,0,7,0,8,13,10,3,59,4,91,114,16,6,93,5,237,9,0,0,0,0,10,37,0,0,0,0,37,13,10,7,95,0,127,141,39,15,115,3,314,4,0,0,0,0,3,0,0,0,4,0,5,0,0,0,3,0,5,9,0,0,4,0,13,0,3,0,0,0,3,13,0,0,0,0,12,25,6,0,3,0,33,5,0,0,0,0,4,16,13,3,98,0,135,18,0,3,3,0,22,0,0,0,0,0,0,10,0,3,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,43,0,0,0,0,44,4,0,0,7,0,12,145,17,11,16,3,200,7,0,3,11,62,77,732,141,73,840,80,1868
SSC40013,4,10,15,246,4,272,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,3,0,10,11,4,12,122,0,145,0,0,3,0,0,4,0,0,0,0,0,0,7,3,5,17,0,26,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,34,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,11,0,0,0,0,36,35,29,15,24,366,41,472
SSC40014,0,3,3,49,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,7,6,47,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,8,17,7,8,106,7,147
SSC40015,0,0,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,30,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,4,7,50,5,75
SSC40016,0,5,0,26,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,25,5,9,25,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,29,29,32,5,7,58,30,131
SSC40017,0,0,0,7,0,13,0,0,0,395,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,8,0,0,0,0,30,30,10,3,3,413,34,455
SSC40018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6
SSC40019,6,0,3,78,0,89,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,41,0,3,71,0,119,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,9,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,26,23,63,7,10,137,25,238
SSC40020,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC40021,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,3,14
SSC40022,0,6,0,26,0,37,0,0,0,104,0,101,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,3,0,18,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,53,57,16,10,0,145,54,226
SSC40023,5,15,7,101,0,128,0,0,0,3,0,3,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,4,21,13,5,66,0,104,4,0,0,0,0,4,0,0,0,0,0,0,11,7,0,20,3,34,3,0,0,0,0,3,7,0,0,4,0,14,0,0,0,0,0,0,0,3,0,22,0,27,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,24,5,0,0,3,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,27,0,0,0,3,22,24,82,26,12,176,28,316
SSC40024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4
SSC40025,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,36,0,37
SSC40026,90,351,270,2395,47,3152,0,3,0,28,0,28,39,3,0,3,0,44,4,0,0,0,0,7,43,31,19,42,0,136,659,398,334,2177,44,3610,46,0,16,0,0,68,9,0,0,8,0,23,35,50,32,369,3,495,21,17,0,29,0,69,9,3,3,5,0,17,72,0,0,3,0,80,83,49,37,404,5,580,63,39,8,140,3,255,0,0,0,0,0,4,5,0,0,3,0,12,0,0,0,0,0,3,7,6,3,23,0,37,27,8,0,3,0,45,13,12,4,4,0,34,12,5,3,27,0,50,3,0,3,9,0,13,135,63,59,373,7,638,10,3,0,0,0,18,23,0,0,0,0,23,9,10,5,7,0,29,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,8,3,42,22,10,4,11,0,50,843,60,38,46,20,1013,45,6,3,55,398,510,2007,659,510,4355,511,8043
SSC40027,0,3,0,33,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,5,41,3,65
SSC40028,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,32,0,47
